id,platform,title,description,category,skills,instructor,rating,num_reviews,price,level,language,duration,url,image_url,scraped_at
coursera_17,Coursera,Advanced Statistics for Data Science,"Skills you'll gain: Statistical Hypothesis Testing, Sampling (Statistics), Regression Analysis, Bayesian Statistics, Statistical Analysis, Probability & Statistics, Statistical Inference, Statistical Methods, Statistical Modeling, Linear Algebra, Probability, Probability Distribution, R Programming, Biostatistics, Data Science, Statistics, Mathematical Modeling, Data Analysis, Data Modeling, Applied Mathematics",Data Science,"data, science",Johns Hopkins University,,786000.0,Free,Advanced,English,,https://www.coursera.org/specializations/advanced-statistics-data-science,,2026-01-29T14:46:32.893165
coursera_18,Coursera,Probability & Statistics for Machine Learning & Data Science,"Skills you'll gain: Descriptive Statistics, Bayesian Statistics, Statistical Hypothesis Testing, Probability & Statistics, Sampling (Statistics), Probability Distribution, Probability, Statistical Inference, A/B Testing, Statistical Analysis, Statistical Machine Learning, Data Science, Statistical Modeling, Exploratory Data Analysis, Statistical Visualization",Data Science,"data, science",DeepLearning.AI,,675000.0,Free,Intermediate,English,,https://www.coursera.org/learn/machine-learning-probability-and-statistics,,2026-01-29T14:46:33.088368
coursera_19,Coursera,Data Science Fundamentals with Python and SQL,"Skills you'll gain: Dashboard, SQL, Descriptive Statistics, Jupyter, Statistical Analysis, Data Analysis, Probability Distribution, Pandas (Python Package), Data Presentation, Statistics, Data Visualization, Statistical Methods, Relational Databases, Stored Procedure, Data Import/Export, Data Science, Programming Principles, Computer Programming Tools, Web Scraping, Python Programming",Data Science,"data, science",IBM,,75000.0,Free,Beginner,English,,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,,2026-01-29T14:46:33.306385
coursera_20,Coursera,A Crash Course in Data Science,"Skills you'll gain: Data Science, Data Management, Data Analysis, Data-Driven Decision-Making, Project Design, Performance Metric, Software Engineering, Machine Learning, Statistical Inference",Data Science,"data, science",Johns Hopkins University,,8400.0,Free,Beginner,English,,https://www.coursera.org/learn/data-science-course,,2026-01-29T14:46:33.520396
coursera_21,Coursera,Mathematical Foundations for Data Science and Analytics,"Skills you'll gain: Statistical Analysis, NumPy, Probability Distribution, Matplotlib, Statistics, Pandas (Python Package), Data Science, Probability & Statistics, Probability, Statistical Modeling, Predictive Modeling, Data Analysis, Linear Algebra, Predictive Analytics, Statistical Methods, Mathematics and Mathematical Modeling, Applied Mathematics, Python Programming, Machine Learning, Logical Reasoning",Data Science,"data, science",University of Pittsburgh,,7000.0,Free,Beginner,English,,https://www.coursera.org/specializations/mathematical-foundations-for-data-science-and-analysis,,2026-01-29T14:46:33.737360
coursera_22,Coursera,Data Science Challenge,"Skills you'll gain: Applied Machine Learning, Jupyter, Machine Learning Algorithms, Model Evaluation, Machine Learning, Predictive Modeling, Data Science, Python Programming, Predictive Analytics, Data Analysis, Technical Communication",Data Science,"data, science",Coursera,,204000.0,Free,Intermediate,English,,https://www.coursera.org/projects/data-science-challenge,,2026-01-29T14:46:33.943741
coursera_23,Coursera,Data Science Math Skills,"Skills you'll gain: Probability, Graphing, Algebra, Bayesian Statistics, Arithmetic, Data Science, Statistics, Calculus, General Mathematics",Data Science,"data, science",Duke University,,13000.0,Subscription,Beginner,English,,https://www.coursera.org/learn/datasciencemathskills,,2026-01-29T14:46:34.114226
coursera_24,Coursera,Applied Data Science,"Skills you'll gain: Exploratory Data Analysis, Dashboard, Data Visualization Software, Plotly, Data Visualization, Model Evaluation, Interactive Data Visualization, Data Transformation, Data Analysis, Data Cleansing, Data Manipulation, Pandas (Python Package), Data Presentation, Predictive Modeling, Data Science, Data Import/Export, Programming Principles, Web Scraping, Python Programming, Machine Learning",Data Science,"data, science",IBM,,61000.0,Free,Beginner,English,,https://www.coursera.org/specializations/applied-data-science,,2026-01-29T14:46:34.315260
coursera_25,Coursera,Data Science: Statistics and Machine Learning,"Skills you'll gain: Shiny (R Package), Rmarkdown, Model Evaluation, Regression Analysis, Exploratory Data Analysis, Statistical Inference, Predictive Modeling, Statistical Hypothesis Testing, Machine Learning Algorithms, Plotly, Interactive Data Visualization, Probability & Statistics, Statistical Machine Learning, Data Presentation, Data Visualization, Statistical Analysis, Statistical Modeling, R Programming, Machine Learning, GitHub",Data Science,"data, science",Johns Hopkins University,,7200.0,Free,Intermediate,English,,https://www.coursera.org/specializations/data-science-statistics-machine-learning,,2026-01-29T14:46:34.518885
coursera_26,Coursera,Genomic Data Science,"Skills you'll gain: Bioinformatics, Unix Commands, Biostatistics, Exploratory Data Analysis, Statistical Analysis, Unix, Data Science, Data Management, Statistical Methods, Command-Line Interface, Statistical Hypothesis Testing, Linux Commands, Data Analysis Software, Data Quality, Data Structures, Data Analysis, Computer Science, Molecular Biology, R Programming, Python Programming",Data Science,"data, science",Johns Hopkins University,,6800.0,Free,Intermediate,English,,https://www.coursera.org/specializations/genomic-data-science,,2026-01-29T14:46:34.730511
