title,partner,rating,reviews,metadata,link,category,scraped_at,source_domain,num_ratings,duration_hours,level_enc,title_clean,popularity_score,id
FL Studio Basics,Berklee,4.5,15 reviews,Intermediate · Course · 1 - 4 Weeks,https://www.coursera.org/learn/fl-studio-basics,Music Production,2026-01-28T23:15:24.872071,coursera,15,5.0,2,fl studio basics,12.476649250079015,188
Archaeology and Heritage of Africa,Universitat Autònoma de Barcelona,4.7,38 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/archaeology-heritage-africa,History,2026-01-29T02:49:06.312836,coursera,38,20.0,1,archaeology and heritage of africa,17.21873973680934,628
Seeing Through Photographs,The Museum of Modern Art,4.8,4.5K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/photography,Photography,2026-01-28T23:15:07.923434,coursera,4500,20.0,1,seeing through photographs,40.37786339180607,209
Introduction to Information Technology and AWS Cloud,Amazon Web Services,4.8,507 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/information-technology-and-aws,Information Technology,2026-01-28T18:46:11.222543,coursera,507,5.0,1,introduction to information technology and aws cloud,29.906310948376717,143
Master Photography & Affinity Photo Techniques,Skillshare,3.4,8 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/master-photography-affinity-photo-techniques,Photography,2026-01-29T02:39:30.470274,coursera,8,20.0,1,master photography  affinity photo techniques,7.470563562943147,821
"Managing ADHD, Autism, Learning Disabilities, and Concussion in School",University of Colorado System,4.8,1.7K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/managing-adhd-autism-learning-disabilities-and-concussion-in-school,Psychology,2026-01-29T02:47:46.994369,coursera,1700,5.0,0,managing adhd autism learning disabilities and concussion in school,35.707063643500135,907
Financial Management,University of Illinois Urbana-Champaign,4.7,6.9K reviews,Intermediate · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/financial-management,Finance,2026-01-29T02:35:16.951106,coursera,6900,20.0,2,financial management,41.54528155581684,472
Start Your Freelance Video Editing Career,Skillshare,0.0,8 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/startyourfreelancevideoeditingcareer,Video Editing,2026-01-28T23:15:43.425792,coursera,8,20.0,1,start your freelance video editing career,0.0,232
"Strategic HRM: Talent, Performance, Compensation Design",Coursera,4.7,167 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/strategic-hrm-talent-performance-compensation-design,Human Resources,2026-01-28T23:14:28.107185,coursera,167,5.0,1,strategic hrm talent performance compensation design,24.08263070319532,137
Certified in Cybersecurity,ISC2,4.7,1.2K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/certified-in-cybersecurity,Cybersecurity,2026-01-28T23:12:51.792874,coursera,1200,20.0,1,certified in cybersecurity,33.32727616377593,30
Full Digital Marketing,LearnKartS,4.3,9 reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/digital-marketing-certification-course,Marketing,2026-01-28T18:47:36.279340,coursera,9,20.0,1,full digital marketing,9.901115899874396,60
"The Modern World, Part One: Global History from 1760 to 1910",University of Virginia,4.8,3.1K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/modern-world,History,2026-01-28T23:17:33.656550,coursera,3100,20.0,1,the modern world part one global history from 1760 to 1910,38.58950361168216,120
Camera Control,Michigan State University,4.8,1.9K reviews,Mixed · Course · 1 - 4 Weeks,https://www.coursera.org/learn/camera-control,Photography,2026-01-29T02:39:41.412767,coursera,1900,5.0,0,camera control,36.24064964394446,823
